,time,PM2.5,humidity,temperature
0,2021-11-21 20:00:00,15.0,99.0,26.8
1,2021-11-21 21:00:00,18.3,99.0,26.2
2,2021-11-21 22:00:00,12.8,99.0,25.8
3,2021-11-21 23:00:00,7.7,99.0,25.8
4,2021-11-22 00:00:00,7.5,99.0,25.6
5,2021-11-22 01:00:00,9.2,99.0,25.4
6,2021-11-22 02:00:00,13.1,99.0,25.5
7,2021-11-22 03:00:00,18.5,99.0,25.5
8,2021-11-22 04:00:00,7.3,99.0,24.8
9,2021-11-22 05:00:00,2.4,98.0,23.6
10,2021-11-22 06:00:00,2.4,94.7,22.9
11,2021-11-22 07:00:00,2.4,91.1,22.0
12,2021-11-22 08:00:00,1.8,88.0,21.6
13,2021-11-22 09:00:00,2.3,85.2,21.6
14,2021-11-22 10:00:00,3.1,82.4,21.6
15,2021-11-22 11:00:00,4.2,82.2,22.0
16,2021-11-22 12:00:00,2.9,79.8,22.5
17,2021-11-22 13:00:00,2.2,75.8,22.5
18,2021-11-22 14:00:00,1.3,73.9,22.3
19,2021-11-22 15:00:00,2.4,74.8,22.6
20,2021-11-22 16:00:00,4.3,77.1,22.4
21,2021-11-22 17:00:00,3.9,78.3,22.0
22,2021-11-22 18:00:00,5.9,79.8,21.4
23,2021-11-22 19:00:00,16.8,81.0,21.0
