,time,PM2.5,humidity,temperature
0,2021-09-18 16:00:00,11.5,65.6,35.1
1,2021-09-18 17:00:00,13.2,69.6,34.0
2,2021-09-18 18:00:00,33.21,76.5,32.4
3,2021-09-18 19:00:00,64.35,81.3,31.4
4,2021-09-18 20:00:00,69.63,84.0,31.2
5,2021-09-18 21:00:00,19.1,87.7,30.6
6,2021-09-18 22:00:00,46.98,89.0,30.2
7,2021-09-18 23:00:00,54.5,89.4,30.0
8,2021-09-19 00:00:00,64.25,90.9,29.7
9,2021-09-19 01:00:00,78.41,92.0,29.4
10,2021-09-19 02:00:00,79.32,92.9,29.2
11,2021-09-19 03:00:00,67.16,93.3,29.1
12,2021-09-19 04:00:00,19.8,94.5,28.8
13,2021-09-19 05:00:00,18.5,95.7,28.5
14,2021-09-19 06:00:00,70.14,96.3,28.2
15,2021-09-19 07:00:00,152.01,95.7,28.6
16,2021-09-19 08:00:00,99.23,91.1,29.9
17,2021-09-19 09:00:00,15.0,85.2,30.8
18,2021-09-19 10:00:00,19.4,79.9,31.6
19,2021-09-19 11:00:00,19.4,71.8,33.3
20,2021-09-19 12:00:00,13.7,67.1,34.8
21,2021-09-19 13:00:00,9.8,59.7,36.6
22,2021-09-19 14:00:00,9.3,56.2,37.3
23,2021-09-19 15:00:00,10.9,57.1,36.8
