,time,PM2.5,humidity,temperature
0,2021-09-27 16:00:00,9.3,75.4,33.5
1,2021-09-27 17:00:00,10.8,78.4,32.8
2,2021-09-27 18:00:00,10.4,90.5,30.2
3,2021-09-27 19:00:00,10.6,93.3,28.7
4,2021-09-27 20:00:00,11.4,98.5,28.2
5,2021-09-27 21:00:00,12.2,100.0,27.8
6,2021-09-27 22:00:00,16.4,100.0,27.4
7,2021-09-27 23:00:00,12.5,100.0,27.2
8,2021-09-28 00:00:00,13.9,100.0,26.8
9,2021-09-28 01:00:00,16.1,100.0,26.6
10,2021-09-28 02:00:00,81.8,100.0,26.6
11,2021-09-28 03:00:00,98.69,100.0,26.0
12,2021-09-28 04:00:00,140.71,100.0,25.7
13,2021-09-28 05:00:00,120.83,100.0,25.3
14,2021-09-28 06:00:00,142.59,100.0,25.2
15,2021-09-28 07:00:00,151.22,100.0,25.5
16,2021-09-28 08:00:00,114.82,100.0,27.6
17,2021-09-28 09:00:00,98.35,99.8,28.9
18,2021-09-28 10:00:00,122.37,97.5,29.9
19,2021-09-28 11:00:00,118.1,93.0,30.7
20,2021-09-28 12:00:00,76.35,85.4,31.7
21,2021-09-28 13:00:00,49.05,78.7,32.7
22,2021-09-28 14:00:00,29.65,71.5,33.9
23,2021-09-28 15:00:00,14.5,66.0,34.7
